common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
CUNH9orf40,Ctdsp1,Arfgef2
Cwc15,Ctdsp2,Arfip1
Cwc22,Ctdspl,Arfip2
Cwc27,Ctdspl2,Arfrp1
Cwf19l1,Ctnnb1,Arglu1
Cwf19l2,Ctnnbl1,Arhgap1
Cyfip1,Ctr9,Arhgap10
Dalrd3,Cttn,Arhgap12
Dars2,Cttnbp2nl,Arhgap17
Dazap1,Cubn,Arhgap19
Dbf4,Cul1,Arhgap20
Dbr1,Cul3,Arhgap21
Dcaf1,Cul4a,Arhgap22
Dcaf15,Cul5,Arhgap24
Dck,CUNH11orf24,Arhgap26
Dclre1a,CUNH11orf68,Arhgap28
Dclre1b,CUNH12orf43,Arhgap29
Dcps,CUNH15orf39,Arhgap31
Dctn4,CUNH18orf54,Arhgap32
Dctpp1,CUNH1orf109,Arhgap39
Ddb1,CUNH1orf131,Arhgap45
Ddias,CUNH1orf198,Arhgap5
Ddit4,CUNH1orf52,Arhgap8
Ddr2,CUNH22orf39,Arhgap9
Ddx10,CUNH3orf33,Arhgef10
Ddx11,CUNH3orf38,Arhgef10l
Ddx18,Cwc22,Arhgef11
Ddx20,Cwf19l2,Arhgef12
Ddx21,Cyfip1,Arhgef16
Ddx23,Cysltr2,Arhgef17
Ddx24,D2hgdh,Arhgef18_1
Ddx28,Daglb,Arhgef2
Ddx39a,Dalrd3,Arhgef25
Ddx39b,Dazap1,Arhgef28
Ddx46,Dbf4,Arhgef37
Ddx49,Dbn1,Arhgef39
Ddx51,Dbndd2,Arhgef4
Ddx54,Dbnl,Arhgef40
Ddx55,Dbr1,Arhgef5
Ddx56,Dcaf15,Arhgef7
Degs1,Dcaf8,Arid1a
Dek,Dck,Arid1b
Dele1,Dclk1,Arid2
Dennd4c,Dclre1b,Arid3a
Denr,Dcp2,Arid3b
Depdc1,Dcps,Arid4a
Depdc1b,Dctn2,Arid4b
Depdc7,Dctn4,Arid5a
Derpc,Dctpp1,Arid5b
Dhfr,Dcun1d4,Arih1
Dhodh,Dcun1d5,Arih2
Dhx15,Ddb1,Arl1
Dhx16,Ddias,Arl10
Dhx29,Ddit4,Arl11
Dhx30,Ddrgk1,Arl13b
Dhx36,Ddx11,Arl14ep
Dhx37,Ddx18,Arl15
Dhx38,Ddx20,Arl2
Dhx9,Ddx21,Arl2bp
Diaph3,Ddx23,Arl3
Dimt1,Ddx24,Arl4a
Dipk2a,Ddx27,Arl4c
Dis3,Ddx39a,Arl5a
Dis3l,Ddx39b,Arl5b
Dld,Ddx46,Arl6
Dlgap5,Ddx51,Arl6ip1
Dlst,Ddx54,Arl6ip4
Dlx2,Ddx55,Arl6ip6
Dmtn,Ddx56,Arl8a
Dmxl1,Deaf1,Arl9
Dna2,Decr1,Armc10
Dnaaf2,Degs1,Armc2
Dnaaf5,Dek,Armc5
Dnah5,Dennd11,Armc6
Dnah8,Dennd2b,Armc8
Dnaja1,Denr,Armc9
Dnaja2,Depdc1,Armh1
Dnajb1,Depdc1b,Armh3
Dnajc1,Depdc5,Armt1
Dnajc10,Depdc7,Arnt
Dnajc11,Derpc,Arnt2
Dnajc2,Dgkz,Arntl
Dnajc21,Dhcr24,Arpc1a
Dnajc22,Dhdds_1,Arpc1b
Dnajc25,Dhfr,Arpc2
Dnajc3,Dhodh,Arpc3
Dnajc8,Dhx15,Arpc5
Dnajc9,Dhx16,Arpp19
Dnm2,Dhx29,Arrb1
Dnmt1,Dhx30,Arrdc1
Dnttip2,Dhx36,Arrdc2
Dohh,Dhx38,Arrdc3
Dok3,Dhx9,Arsa
Donson,Diablo,Arsj
Dop1a,Diaph3,Arsk
Dot1l,Dicer1,Art3
Dpagt1,Dido1,Artn
Dpcd,Dip2a,Arv1
Dpf2,Dipk2a,Arvcf
Dpf3,Dis3,As3mt
Dph2,Dis3l,Asah1
Dpp10,Disp1,Asap3
Dpy19l1,Dld,Asb1
Drc7,Dlgap5,Asb13
Drg1,Dlst,Asb14
Drosha,Dna2,Asb15
Dsn1,Dnaaf2,Asb3
Dstn,Dnaaf5,Asb7
Dtd1,Dnai3,Asb8
Dtl,Dnai4,Ascc1
Dtx2,Dnaja1,Ascc2
Dtymk,Dnaja2,Ascc3
Dusp12,Dnajb1,Ascl2
Dusp4,Dnajc1,Asdurf
